"reference_no","samp_country","aff_country"
51105,"USA","USA"
54211,"Israel","USA"
54211,"Israel","Estonia"
54211,"Israel","UK"
60544,"New Zealand","New Zealand"
57841,"Argentina","USA"
57841,"Argentina","Argentina"
57841,"Argentina","Brazil"
46332,"China","China"
46332,"China","Russia"
49821,"China","China"
49821,"China","Russia"
68956,"China","USA"
52043,"China","China"
52043,"China","USA"
64759,"Russia","Russia"
53389,"Ukraine","Poland"
53770,"China","China"
53770,"China","Russia"
53770,"China","UK"
52063,"Western Sahara","Morocco"
52063,"Western Sahara","USA"
70597,"Japan","Japan"
70597,"Japan","Germany"
46731,"Peru","France"
46731,"Peru","Peru"
48407,"Mongolia","Canada"
64968,"Brazil","Brazil"
64968,"Brazil","Argentina"
41985,"Bolivia","USA"
41985,"Bolivia","Bolivia"
44133,"Spain","Argentina"
49090,"France","Poland"
49090,"France","France"
48991,"Czechia","Poland"
48991,"Czechia","Czech Republic"
43712,"China","China"
48112,"China","China"
48112,"China","USA"
44884,"Russia","China"
44884,"Russia","Russia"
43380,"Morocco","Italy"
43380,"Morocco","Spain"
70053,"Argentina","Argentina"
63502,"Italy","Italy"
45715,"Tunisia","Italy"
44203,"Aruba","Argentina"
67447,"Argentina","Argentina"
45016,"Uzbekistan","Russia"
45016,"Uzbekistan","USA"
45178,"Brazil","Brazil"
47225,"Italy","Italy"
47225,"Italy","Spain"
49410,"Germany","Switzerland"
48549,"Spain","USA"
48549,"Spain","Spain"
48549,"Spain","Canada"
49075,"Brazil","Brazil"
49730,"Argentina","Argentina"
49730,"Argentina","USA"
48049,"China","China"
48049,"China","Russia"
48049,"China","UK"
63146,"Argentina","Argentina"
44865,"Argentina","Argentina"
47026,"Iran","Iran"
47026,"Iran","France"
68930,"UK","Switzerland"
68930,"UK","France"
63867,"Russia","Russia"
63867,"Russia","USA"
63867,"Russia","Moldova"
63867,"Russia","Netherlands"
61580,"Greece","Germany"
61580,"Greece","Greece"
61580,"Greece","USA"
61580,"Greece","Australia"
61580,"Greece","UK"
44140,"Spain","France"
44140,"Spain","Germany"
44140,"Spain","Spain"
72082,"Taiwan","China"
72082,"Taiwan","Taiwan"
50224,"Italy","Italy"
50224,"Italy","UK"
50224,"Italy","Austria"
52696,"Australia","USA"
62026,"Turkey","USA"
62026,"Turkey","Turkey"
62026,"Turkey","UK"
62026,"Turkey","China"
53520,"Morocco","Switzerland"
